food item,price,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,notes
"peach perfection smoothie, medium",7.29,310,624,0.5,0,0,35,76,4,66,3,
"pomegranate paradise smoothie, medium",7.29,320,624,0.5,0,0,25,80,5,69,2,
"smooth talkin' mango smoothie, medium",7.29,370,624,8,1,0,150,73,8,52,6,
"strawberry whirl smoothie, medium",7.29,300,624,1,0,0,20,75,6,55,3,
"mango-a-go-go smoothie, small",5.89,300,454,1,0.5,0,35,73,2,65,1,
"caribbean passion smoothie, small",5.89,260,454,1,0,0,35,63,2,55,2,
"razzmatazz smoothie, small",5.89,270,454,1,0,0,30,65,2,56,1,
"strawberry surf rider smoothie, small",5.89,250,454,1.5,0,5,15,60,2,54,1,
"aloha pineapple smoothie, small",5.89,310,454,1.5,0.5,0,45,67,3,59,7,
"strawberries wild smoothie, small",5.89,240,454,0,0,0,50,57,2,47,3,
"white gummi smoothie, small",5.89,320,454,2,1,0,65,74,1,67,2,
"orange dream smoothie, small",5.89,310,454,1.5,0.5,0,95,68,0,63,5,
"peanut butter moo'd smoothie, small",5.89,430,454,10,2,5,190,75,3,63,13,
"matcha green tea blast smoothie, small",5.89,270,454,0,0,0,130,56,1,51,8,
"apple 'n greens smoothie, small",6.49,250,454,1,0,0,50,58,5,44,5,
"vanilla blue sky smoothie, small",6.49,210,454,4.5,2.5,0,90,43,5,27,2,
"greens 'n ginger smoothie, small",6.49,230,454,1,0,0,25,56,4,48,4,
"mega mango smoothie, small",6.49,210,454,0.5,0,0,10,50,3,45,2,
"peach perfection smoothie, small",6.49,210,454,0,0,0,25,51,3,44,2,
"pomegranate paradise smoothie, small",6.49,220,454,0.5,0,0,15,54,3,46,2,
"smooth talkin' mango smoothie, small",6.49,250,454,0.5,0.5,0,100,50,5,36,4,
"strawberry whirl smoothie, small",6.49,210,454,0.5,0,0,15,51,4,38,2,
blueberry strawberry blast-off,4.49,190,283,0,0,0,15,46,3,37,1,
strawberries gone bananas,4.49,150,283,0,0,0,20,36,3,27,1,
spinach 'n cheese breakfast wrap,3.99,240,151,7,3,15,590,30,3,1,15,
"roasted tomato, spinach & feta breakfast sandwich",4.49,240,127,8,3,15,550,30,4,2,11,
apple cinnamon pretzel,2.79,390,141,4.5,0,0,290,78,3,15,9,
sweet belgian waffle,2.79,310,70,15,8,25,290,39,1,19,5,
cheddar tomato twist,2.79,250,91,5,2,10,430,41,2,3,9,
sourdough parmesan pretzel,2.79,420,141,11,3,15,690,69,3,3,12,
The Breakfast Burger,6.74,298,830,400,44,245,1590,67,4,13,42,
Grilled Cheese Breakfast Sandwich- Ham,7,275,690,250,28,245,2060,77,3,6,40,
Grilled Cheese Breakfast Sandwich- Sausage,7,283,840,400,45,260,1920,77,3,5,41,
Grilled Cheese Breakfast Sandwich- Bacon,7,261,740,300,33,250,1910,77,3,5,42,
Sausage Egg & Cheese Biscuit,5.52,197,710,450,50,265,1840,44,0,4,20,
Bacon Egg & Cheese Biscuit,5.52,170,590,333,37,255,1740,44,0,4,20,
Monster Biscuit®,6.07,238,850,549,61,365,2380,46,0,5,31,
Biscuit 'N' Gravy™,2.74,235,500,243,27,10,1780,53,0,4,8,
Steak and Egg Burrito,6.79,293,600,290,33,390,1570,37,2,3,35,
Loaded Breakfast Burrito,6.25,301,760,430,48,370,1330,46,3,2,33,
Big Country® Breakfast Burrito,5.98,259,660,360,40,345,1140,45,2,1,26,
"Bacon, Egg, and Cheese Burrito",5.14,211,580,310,35,365,1040,32,1,1,31,
French Toast Dips®,4.85,142,500,170,19,0,620,74,3,13,9,
Hash Rounds® Small,2.74,78,250,150,17,0,320,23,2,0,2,
Famous Star® with Cheese,6.07,259,670,330,37,75,1270,57,3,12,28,
Beyond Famous Star® with Cheese,10.17,326,770,396,44,30,1600,61,2,12,33,
Super Star® with Cheese,8.26,390,920,510,56,140,1540,59,4,13,48,
Western Bacon Cheeseburger®,6.61,254,760,320,35,85,1700,74,4,16,38,
Beyond® BBQ Cheeseburger- Double,13.92,409,1150,560,63,35,2480,87,9,17,60,
Beyond® BBQ Cheeseburger- Single,10.49,280,790,330,37,15,1750,81,6,16,35,
Spicy Western Bacon Cheeseburger®,6.82,310,920,450,50,135,2010,71,4,17,47,
Spicy Beyond BBQ Cheeseburger,10.49,296,800,324,36,15,1890,84,2,17,34,
Double Spicy Beyond BBQ Cheeseburger,13.92,415,1130,540,60,30,2510,90,4,18,56,
Double Western Bacon Cheeseburger®,8.63,336,1020,490,54,150,2020,75,4,16,57,
Spicy Double Western Bacon Cheeseburger®,8.84,456,1400,780,87,270,2960,75,5,20,80,
Triple Western Bacon Cheeseburger®,11.34,438,1380,730,81,240,2750,80,4,17,85,
Spicy Triple Western Bacon Cheeseburger®,11.55,438,1380,730,81,240,2750,80,4,17,85,
The Big Carl®,6.61,321,920,520,58,140,1380,56,3,12,47,
The 1/3lb. Original Thickburger®,9.37,310,820,460,51,125,1440,56,4,14,39,
The 1/3lb. Guacamole Bacon Thickburger®,10.48,376,960,580,64,120,1820,50,3,11,38,
The 1/3lb. Jalapeño Thickburger®,10.48,323,830,480,54,130,1450,53,4,4,35,
2/3 lb. Monster Angus Thickburger®,13.38,382,1290,800,89,265,3120,53,2,10,76,
Big Hamburger,2.74,203,480,160,18,50,870,56,3,13,25,
Big Hamburger w/ Cheese,3.31,219,540,200,22,65,1150,56,3,13,28,
California Classic Double Cheeseburger,4.23,231,560,350,39,80,990,38,2,8,21,
3 Piece - Hand-Breaded Chicken Tenders™,6.25,128,260,110,13,70,770,13,2,0,25,
5 Piece - Hand-Breaded Chicken Tenders™,9.66,213,440,190,21,115,1290,21,3,0,41,
6 Piece - Chicken Stars™,6.88,91,270,140,15,50,480,19,3,0,14,
9 Piece- Chicken Stars™,8.57,137,410,210,23,75,710,29,5,0,21,
The Big Chicken Fillet Sandwich,8.63,290,680,320,36,80,1430,56,2,8,33,
The Bacon Swiss Crispy Chicken Fillet Sandwich,10.48,328,810,400,45,110,2120,58,3,10,44,
Charbroiled Chicken Club™ Sandwich,9,272,600,240,27,150,1720,46,1,12,44,
Charbroiled Santa Fe Chicken™ Sandwich,8.63,255,550,230,25,135,1540,45,1,10,36,
Charbroiled BBQ Chicken™ Sandwich,8.09,238,370,50,5,110,1210,49,1,14,33,
Charbroiled Chicken Salad,10.05,306,280,80,9,120,960,19,2,6,33,
Spicy Chicken Sandwich,3.11,177,490,260,29,40,1320,43,4,4,14,
Crisscut® Fries,4.4,128,410,240,26,0,830,39,4,0,5,
Fried Zucchini,4.4,122,330,180,20,0,720,34,7,2,4,
Onion Rings,4.4,106,520,250,28,0,590,61,3,6,8,
6 piece - Jalapeno Poppers®,5.39,154,470,260,29,35,1330,42,3,6,9,
9 piece - Jalapeno Poppers®,7.86,216,650,340,38,45,1890,62,4,7,13,
Natural-Cut French Fries- Small,3.46,104,300,130,15,0,600,39,4,0,3,
Natural-Cut French Fries- Medium,3.84,147,420,190,21,0,850,55,5,0,5,
Natural-Cut French Fries- Large,4.4,158,460,200,22,0,920,59,6,0,5,
Side Salad,4.03,193,140,60,7,10,240,15,2,2,6,
Hand-Scooped Ice-Cream Shakes™- Vanilla Shake,6.07,397,700,320,35,105,240,86,0,65,12,
Hand-Scooped Ice-Cream Shakes™- Chocolate Shake,6.07,397,690,320,36,105,300,84,1,59,12,
