food item,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein
"mega mango smoothie, large",350.0,794.0,1.0,0.0,0.0,15.0,85.0,6.0,76.0,4.0
"peach perfection smoothie, large",360.0,794.0,1.0,0.0,0.0,40.0,88.0,5.0,76.0,3.0
"pomegranate paradise smoothie, large",380.0,794.0,1.0,0.0,0.0,25.0,93.0,5.0,80.0,3.0
"smooth talkin' mango smoothie, large",440.0,794.0,9.0,1.0,0.0,180.0,88.0,9.0,62.0,7.0
"strawberry whirl smoothie, large",350.0,794.0,1.0,0.0,0.0,25.0,87.0,7.0,65.0,3.0
"mango-a-go-go smoothie, medium",400.0,624.0,1.5,0.5,0.0,45.0,97.0,3.0,87.0,2.0
"caribbean passion smoothie, medium",340.0,624.0,1.5,0.5,0.0,45.0,82.0,3.0,72.0,2.0
"razzmatazz smoothie, medium",360.0,624.0,1.5,0.5,0.0,40.0,87.0,3.0,74.0,1.0
"strawberry surf rider smoothie, medium",340.0,624.0,2.0,0.5,5.0,25.0,84.0,3.0,75.0,1.0
"aloha pineapple smoothie, medium",400.0,624.0,2.0,0.5,0.0,55.0,89.0,4.0,77.0,7.0
"strawberries wild smoothie, medium",340.0,624.0,0.0,0.0,0.0,75.0,81.0,3.0,67.0,5.0
"white gummi smoothie, medium",450.0,624.0,3.0,1.5,5.0,85.0,105.0,1.0,94.0,2.0
"orange dream smoothie, medium",440.0,624.0,2.0,1.0,0.0,125.0,97.0,0.0,89.0,7.0
"peanut butter moo'd smoothie, medium",720.0,624.0,19.0,4.0,5.0,330.0,120.0,5.0,101.0,22.0
"matcha green tea blast smoothie, medium",410.0,624.0,0.0,0.0,0.0,200.0,87.0,1.0,79.0,12.0
"apple 'n greens smoothie, medium",320.0,624.0,1.0,0.0,0.0,55.0,76.0,6.0,58.0,6.0
"vanilla blue sky smoothie, medium",280.0,624.0,5.0,3.0,0.0,110.0,61.0,7.0,37.0,3.0
"greens 'n ginger smoothie, medium",290.0,624.0,1.0,0.0,0.0,30.0,70.0,5.0,60.0,4.0
"mega mango smoothie, medium",310.0,624.0,1.0,0.0,0.0,15.0,74.0,5.0,67.0,3.0
"peach perfection smoothie, medium",310.0,624.0,0.5,0.0,0.0,35.0,76.0,4.0,66.0,3.0
"pomegranate paradise smoothie, medium",320.0,624.0,0.5,0.0,0.0,25.0,80.0,5.0,69.0,2.0
"smooth talkin' mango smoothie, medium",370.0,624.0,8.0,1.0,0.0,150.0,73.0,8.0,52.0,6.0
"strawberry whirl smoothie, medium",300.0,624.0,1.0,0.0,0.0,20.0,75.0,6.0,55.0,3.0
"mango-a-go-go smoothie, small",300.0,454.0,1.0,0.5,0.0,35.0,73.0,2.0,65.0,1.0
"caribbean passion smoothie, small",260.0,454.0,1.0,0.0,0.0,35.0,63.0,2.0,55.0,2.0
"razzmatazz smoothie, small",270.0,454.0,1.0,0.0,0.0,30.0,65.0,2.0,56.0,1.0
"strawberry surf rider smoothie, small",250.0,454.0,1.5,0.0,5.0,15.0,60.0,2.0,54.0,1.0
"aloha pineapple smoothie, small",310.0,454.0,1.5,0.5,0.0,45.0,67.0,3.0,59.0,7.0
"strawberries wild smoothie, small",240.0,454.0,0.0,0.0,0.0,50.0,57.0,2.0,47.0,3.0
"white gummi smoothie, small",320.0,454.0,2.0,1.0,0.0,65.0,74.0,1.0,67.0,2.0
"orange dream smoothie, small",310.0,454.0,1.5,0.5,0.0,95.0,68.0,0.0,63.0,5.0
"peanut butter moo'd smoothie, small",430.0,454.0,10.0,2.0,5.0,190.0,75.0,3.0,63.0,13.0
"matcha green tea blast smoothie, small",270.0,454.0,0.0,0.0,0.0,130.0,56.0,1.0,51.0,8.0
"apple 'n greens smoothie, small",250.0,454.0,1.0,0.0,0.0,50.0,58.0,5.0,44.0,5.0
"vanilla blue sky smoothie, small",210.0,454.0,4.5,2.5,0.0,90.0,43.0,5.0,27.0,2.0
"greens 'n ginger smoothie, small",230.0,454.0,1.0,0.0,0.0,25.0,56.0,4.0,48.0,4.0
"mega mango smoothie, small",210.0,454.0,0.5,0.0,0.0,10.0,50.0,3.0,45.0,2.0
"peach perfection smoothie, small",210.0,454.0,0.0,0.0,0.0,25.0,51.0,3.0,44.0,2.0
"pomegranate paradise smoothie, small",220.0,454.0,0.5,0.0,0.0,15.0,54.0,3.0,46.0,2.0
"smooth talkin' mango smoothie, small",250.0,454.0,0.5,0.5,0.0,100.0,50.0,5.0,36.0,4.0
"strawberry whirl smoothie, small",210.0,454.0,0.5,0.0,0.0,15.0,51.0,4.0,38.0,2.0
blueberry strawberry blast-off,190.0,283.0,0.0,0.0,0.0,15.0,46.0,3.0,37.0,1.0
strawberries gone bananas,150.0,283.0,0.0,0.0,0.0,20.0,36.0,3.0,27.0,1.0
spinach 'n cheese breakfast wrap,240.0,151.0,7.0,3.0,15.0,590.0,30.0,3.0,1.0,15.0
"roasted tomato, spinach & feta breakfast sandwich",240.0,127.0,8.0,3.0,15.0,550.0,30.0,4.0,2.0,11.0
apple cinnamon pretzel,390.0,141.0,4.5,0.0,0.0,290.0,78.0,3.0,15.0,9.0
sweet belgian waffle,310.0,70.0,15.0,8.0,25.0,290.0,39.0,1.0,19.0,5.0
cheddar tomato twist,250.0,91.0,5.0,2.0,10.0,430.0,41.0,2.0,3.0,9.0
sourdough parmesan pretzel,420.0,141.0,11.0,3.0,15.0,690.0,69.0,3.0,3.0,12.0
The Breakfast Burger,298.0,830.0,400.0,44.0,245.0,1590.0,67.0,4.0,13.0,42.0
Grilled Cheese Breakfast Sandwich- Ham,275.0,690.0,250.0,28.0,245.0,2060.0,77.0,3.0,6.0,40.0
Grilled Cheese Breakfast Sandwich- Sausage,283.0,840.0,400.0,45.0,260.0,1920.0,77.0,3.0,5.0,41.0
Grilled Cheese Breakfast Sandwich- Bacon,261.0,740.0,300.0,33.0,250.0,1910.0,77.0,3.0,5.0,42.0
Sausage Egg & Cheese Biscuit,197.0,710.0,450.0,50.0,265.0,1840.0,44.0,0.0,4.0,20.0
Bacon Egg & Cheese Biscuit,170.0,590.0,333.0,37.0,255.0,1740.0,44.0,0.0,4.0,20.0
Monster Biscuit®,238.0,850.0,549.0,61.0,365.0,2380.0,46.0,0.0,5.0,31.0
Biscuit 'N' Gravy™,235.0,500.0,243.0,27.0,10.0,1780.0,53.0,0.0,4.0,8.0
Steak and Egg Burrito,293.0,600.0,290.0,33.0,390.0,1570.0,37.0,2.0,3.0,35.0
Loaded Breakfast Burrito,301.0,760.0,430.0,48.0,370.0,1330.0,46.0,3.0,2.0,33.0
Big Country® Breakfast Burrito,259.0,660.0,360.0,40.0,345.0,1140.0,45.0,2.0,1.0,26.0
"Bacon, Egg, and Cheese Burrito",211.0,580.0,310.0,35.0,365.0,1040.0,32.0,1.0,1.0,31.0
French Toast Dips®,142.0,500.0,170.0,19.0,0.0,620.0,74.0,3.0,13.0,9.0
Hash Rounds® Small,78.0,250.0,150.0,17.0,0.0,320.0,23.0,2.0,0.0,2.0
Famous Star® with Cheese,259.0,670.0,330.0,37.0,75.0,1270.0,57.0,3.0,12.0,28.0
Beyond Famous Star® with Cheese,326.0,770.0,396.0,44.0,30.0,1600.0,61.0,2.0,12.0,33.0
Super Star® with Cheese,390.0,920.0,510.0,56.0,140.0,1540.0,59.0,4.0,13.0,48.0
Western Bacon Cheeseburger®,254.0,760.0,320.0,35.0,85.0,1700.0,74.0,4.0,16.0,38.0
Beyond® BBQ Cheeseburger- Double,409.0,1150.0,560.0,63.0,35.0,2480.0,87.0,9.0,17.0,60.0
Beyond® BBQ Cheeseburger- Single,280.0,790.0,330.0,37.0,15.0,1750.0,81.0,6.0,16.0,35.0
Spicy Western Bacon Cheeseburger®,310.0,920.0,450.0,50.0,135.0,2010.0,71.0,4.0,17.0,47.0
Spicy Beyond BBQ Cheeseburger,296.0,800.0,324.0,36.0,15.0,1890.0,84.0,2.0,17.0,34.0
Double Spicy Beyond BBQ Cheeseburger,415.0,1130.0,540.0,60.0,30.0,2510.0,90.0,4.0,18.0,56.0
Double Western Bacon Cheeseburger®,336.0,1020.0,490.0,54.0,150.0,2020.0,75.0,4.0,16.0,57.0
Spicy Double Western Bacon Cheeseburger®,456.0,1400.0,780.0,87.0,270.0,2960.0,75.0,5.0,20.0,80.0
Triple Western Bacon Cheeseburger®,438.0,1380.0,730.0,81.0,240.0,2750.0,80.0,4.0,17.0,85.0
