food item,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein
"Hawaiian Luau Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",99.0,240.0,90.0,9.0,25.0,670.0,28.0,1.0,5.0,11.0
"Dan's Original Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",104.0,260.0,110.0,12.0,30.0,680.0,27.0,1.0,4.0,12.0
"Triple Meat Italiano Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",96.0,260.0,110.0,12.0,30.0,750.0,26.0,1.0,4.0,12.0
"Spicy Sicilian Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",100.0,250.0,100.0,11.0,25.0,760.0,27.0,2.0,4.0,11.0
"Ultimate Cheese Lover's Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",83.0,250.0,100.0,11.0,30.0,620.0,26.0,1.0,3.0,11.0
"Chicken, Red Onion & Green Pepper, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",95.0,180.0,40.0,4.5,20.0,510.0,23.0,1.0,5.0,11.0
"Chicken, Mushrooms & Jalapeño, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",93.0,170.0,40.0,4.5,20.0,720.0,22.0,1.0,4.0,11.0
"Ham, Red Onion & Mushroom, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",84.0,160.0,40.0,4.5,15.0,550.0,23.0,1.0,4.0,8.0
"Ham, Pineapple & Diced Red Tomato, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",84.0,160.0,40.0,4.5,15.0,550.0,24.0,1.0,6.0,7.0
"Green Pepper, Red Onion & Diced Red Tomato, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",89.0,150.0,35.0,4.0,10.0,400.0,24.0,2.0,5.0,6.0
"Diced Red Tomato, Mushroom & Jalapeño, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",87.0,150.0,35.0,4.0,10.0,610.0,23.0,2.0,4.0,6.0
"Cheese Only, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",129.0,360.0,150.0,17.0,35.0,740.0,37.0,2.0,3.0,15.0
"Pepperoni, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",128.0,380.0,170.0,19.0,35.0,840.0,36.0,2.0,3.0,15.0
"Supreme, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",158.0,420.0,200.0,23.0,45.0,920.0,38.0,2.0,3.0,17.0
"Pepperoni & Mushroom, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",136.0,350.0,150.0,17.0,30.0,730.0,37.0,2.0,3.0,14.0
"Italian Sausage & Red Onion, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",148.0,390.0,180.0,20.0,35.0,770.0,38.0,2.0,3.0,15.0
"Ham & Pineapple, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",137.0,340.0,130.0,15.0,25.0,740.0,39.0,2.0,4.0,14.0
"Veggie Lover's®, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",149.0,330.0,130.0,15.0,20.0,690.0,38.0,2.0,4.0,13.0
"Meat Lover's®, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",160.0,480.0,250.0,28.0,60.0,1180.0,37.0,2.0,3.0,20.0
"Pepperoni Lover's®, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",145.0,430.0,200.0,23.0,55.0,1070.0,37.0,2.0,3.0,20.0
"Hawaiian Luau, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",145.0,380.0,160.0,18.0,35.0,860.0,39.0,2.0,4.0,15.0
"Dan's Original, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",154.0,420.0,200.0,22.0,40.0,880.0,37.0,2.0,3.0,17.0
"Triple Meat Italiano, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",146.0,420.0,200.0,23.0,45.0,1000.0,37.0,2.0,3.0,18.0
"Spicy Sicilian, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",148.0,400.0,180.0,21.0,35.0,960.0,38.0,2.0,3.0,16.0
"Ultimate Cheese Lover's, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",129.0,400.0,190.0,21.0,40.0,800.0,36.0,2.0,3.0,16.0
"Cheese Only, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",88.0,260.0,100.0,11.0,35.0,740.0,29.0,1.0,5.0,12.0
"Pepperoni, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",86.0,280.0,120.0,13.0,35.0,850.0,28.0,1.0,5.0,13.0
"Supreme, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",120.0,330.0,150.0,17.0,45.0,930.0,30.0,2.0,5.0,15.0
"Pepperoni & Mushroom, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",99.0,260.0,100.0,11.0,30.0,740.0,29.0,1.0,5.0,12.0
"Italian Sausage & Red Onion, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",110.0,300.0,120.0,14.0,35.0,780.0,30.0,1.0,6.0,13.0
"Ham & Pineapple, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",100.0,240.0,80.0,9.0,25.0,750.0,31.0,1.0,7.0,11.0
"Veggie Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",117.0,240.0,80.0,9.0,20.0,710.0,30.0,2.0,6.0,10.0
"Meat Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",117.0,390.0,200.0,23.0,60.0,1210.0,28.0,1.0,5.0,18.0
"Pepperoni Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",104.0,350.0,170.0,18.0,55.0,1080.0,29.0,1.0,5.0,17.0
"Hawaiian Luau, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",110.0,300.0,120.0,14.0,35.0,900.0,31.0,1.0,7.0,13.0
"Dan's Original, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",115.0,320.0,150.0,16.0,40.0,890.0,29.0,1.0,5.0,15.0
"Triple Meat Italiano, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",103.0,320.0,150.0,17.0,45.0,1000.0,28.0,1.0,5.0,15.0
"Spicy Sicilian, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",110.0,300.0,130.0,15.0,35.0,1020.0,30.0,2.0,5.0,13.0
"Ultimate Cheese Lover's, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",88.0,300.0,130.0,15.0,40.0,800.0,28.0,1.0,5.0,14.0
"Cheese Only, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",123.0,320.0,100.0,12.0,35.0,800.0,38.0,2.0,5.0,15.0
"Pepperoni, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",121.0,330.0,120.0,14.0,35.0,910.0,38.0,2.0,5.0,15.0
"Supreme, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",152.0,380.0,150.0,17.0,45.0,990.0,39.0,2.0,6.0,17.0
"Pepperoni & Mushroom, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",131.0,310.0,100.0,11.0,30.0,800.0,38.0,2.0,5.0,14.0
"Italian Sausage & Red Onion, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",142.0,350.0,130.0,14.0,35.0,840.0,40.0,2.0,6.0,15.0
"Ham & Pineapple, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",131.0,290.0,80.0,9.0,25.0,810.0,40.0,2.0,7.0,13.0
"Veggie Lover's®, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",144.0,290.0,80.0,9.0,25.0,760.0,39.0,2.0,6.0,13.0
"Meat Lover's®, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",153.0,440.0,200.0,23.0,60.0,1250.0,38.0,2.0,5.0,20.0
"Pepperoni Lover's®, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",140.0,400.0,170.0,19.0,55.0,1130.0,39.0,2.0,5.0,19.0
"Hawaiian Luau, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",140.0,340.0,120.0,13.0,35.0,930.0,40.0,2.0,7.0,15.0
"Dan's Original, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",147.0,370.0,150.0,17.0,40.0,950.0,38.0,2.0,5.0,17.0
"Triple Meat Italiano, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",139.0,380.0,150.0,17.0,45.0,1060.0,38.0,2.0,5.0,18.0
"Spicy Sicilian, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",142.0,350.0,140.0,15.0,40.0,1040.0,39.0,2.0,6.0,15.0
"Ultimate Cheese Lover's, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",118.0,350.0,140.0,15.0,40.0,840.0,37.0,1.0,5.0,16.0
"Cheese Only Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",124.0,320.0,110.0,12.0,35.0,840.0,39.0,2.0,5.0,15.0
"Pepperoni Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",122.0,340.0,130.0,14.0,35.0,940.0,38.0,2.0,5.0,15.0
"Supreme Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",153.0,380.0,160.0,17.0,45.0,1030.0,40.0,2.0,6.0,17.0
"Pepperoni & Mushroom Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",132.0,320.0,100.0,11.0,30.0,840.0,39.0,2.0,5.0,14.0
"Italian Sausage & Red Onion Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",143.0,350.0,130.0,15.0,35.0,870.0,40.0,2.0,6.0,15.0
"Ham & Pineapple Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",133.0,300.0,80.0,9.0,25.0,840.0,41.0,2.0,7.0,14.0
"Veggie Lover's® Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",146.0,300.0,90.0,10.0,25.0,790.0,40.0,2.0,6.0,13.0
"Meat Lover's® Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",154.0,440.0,210.0,23.0,60.0,1290.0,39.0,2.0,5.0,20.0
"Pepperoni Lover's® Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",141.0,410.0,170.0,19.0,55.0,1170.0,39.0,2.0,5.0,19.0
"Hawaiian Luau Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",141.0,340.0,120.0,13.0,35.0,970.0,41.0,2.0,7.0,16.0
"Dan's Original Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",149.0,380.0,150.0,17.0,40.0,980.0,39.0,2.0,5.0,17.0
"Triple Meat Italiano Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",140.0,380.0,160.0,17.0,45.0,1100.0,39.0,2.0,5.0,18.0
"Spicy Sicilian Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",143.0,360.0,140.0,15.0,40.0,1080.0,40.0,2.0,6.0,16.0
"Ultimate Cheese Lover's Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",120.0,360.0,140.0,15.0,40.0,880.0,38.0,2.0,5.0,16.0
"Cheese Only, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",132.0,340.0,120.0,14.0,40.0,900.0,39.0,2.0,6.0,16.0
"Pepperoni, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",134.0,370.0,150.0,17.0,45.0,1040.0,39.0,2.0,5.0,17.0
"Supreme, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",163.0,420.0,180.0,20.0,55.0,1120.0,40.0,2.0,6.0,19.0
"Pepperoni & Mushroom, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",142.0,350.0,130.0,14.0,40.0,930.0,39.0,2.0,6.0,16.0
"Italian Sausage & Red Onion, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",153.0,390.0,160.0,17.0,45.0,970.0,41.0,2.0,6.0,17.0
"Ham & Pineapple, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",143.0,330.0,110.0,12.0,40.0,940.0,41.0,2.0,7.0,15.0
"Veggie Lover's®, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",155.0,330.0,110.0,12.0,35.0,880.0,41.0,2.0,6.0,15.0
"Meat Lover's®, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",165.0,480.0,230.0,26.0,70.0,1380.0,39.0,2.0,6.0,22.0
"Pepperoni Lover's®, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",149.0,430.0,190.0,21.0,60.0,1230.0,40.0,2.0,6.0,20.0
"Hawaiian Luau, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",151.0,380.0,140.0,16.0,45.0,1050.0,41.0,2.0,7.0,17.0
"Dan's Original, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",159.0,410.0,180.0,20.0,50.0,1080.0,40.0,2.0,6.0,19.0
"Triple Meat Italiano, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",151.0,420.0,180.0,20.0,55.0,1190.0,39.0,2.0,6.0,20.0
"Spicy Sicilian, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",153.0,390.0,160.0,18.0,50.0,1160.0,40.0,2.0,6.0,17.0
"Ultimate Cheese Lover's, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",127.0,380.0,160.0,17.0,45.0,940.0,38.0,1.0,5.0,17.0
"Cheese Only, 6"" Personal Pan Pizza® (Whole Pizza)",207.0,590.0,210.0,24.0,55.0,1290.0,69.0,3.0,7.0,26.0
"Pepperoni, 6"" Personal Pan Pizza® (Whole Pizza)",201.0,610.0,240.0,26.0,55.0,1410.0,67.0,3.0,6.0,26.0
"Supreme, 6"" Personal Pan Pizza® (Whole Pizza)",256.0,720.0,320.0,36.0,80.0,1680.0,69.0,4.0,7.0,30.0
"Pepperoni & Mushroom, 6"" Personal Pan Pizza® (Whole Pizza)",214.0,570.0,200.0,23.0,45.0,1250.0,68.0,4.0,7.0,24.0
"Italian Sausage & Red Onion, 6"" Personal Pan Pizza® (Whole Pizza)",244.0,690.0,290.0,32.0,65.0,1440.0,71.0,4.0,8.0,28.0
"Ham & Pineapple, 6"" Personal Pan Pizza® (Whole Pizza)",215.0,550.0,180.0,20.0,45.0,1260.0,71.0,3.0,9.0,23.0
"Veggie Lover's®, 6"" Personal Pan Pizza® (Whole Pizza)",233.0,550.0,180.0,20.0,35.0,1190.0,70.0,4.0,8.0,22.0
"Meat Lover's®, 6"" Personal Pan Pizza® (Whole Pizza)",263.0,830.0,410.0,46.0,100.0,2110.0,68.0,3.0,7.0,36.0
"Pepperoni Lover's®, 6"" Personal Pan Pizza® (Whole Pizza)",230.0,720.0,310.0,34.0,85.0,1760.0,69.0,3.0,7.0,32.0
"Hawaiian Luau, 6"" Personal Pan Pizza® (Whole Pizza)",227.0,620.0,230.0,25.0,55.0,1440.0,71.0,3.0,9.0,26.0
"Dan's Original, 6"" Personal Pan Pizza® (Whole Pizza)",251.0,720.0,320.0,36.0,75.0,1600.0,69.0,4.0,7.0,31.0
"Triple Meat Italiano, 6"" Personal Pan Pizza® (Whole Pizza)",239.0,730.0,330.0,36.0,80.0,1770.0,68.0,3.0,6.0,32.0
"Spicy Sicilian, 6"" Personal Pan Pizza® (Whole Pizza)",245.0,680.0,290.0,32.0,70.0,1730.0,69.0,4.0,7.0,29.0
"Ultimate Cheese Lover's, 6"" Personal Pan Pizza® (Whole Pizza)",207.0,660.0,270.0,30.0,65.0,1400.0,68.0,3.0,6.0,29.0
"Classic, P'Zone® Pizza (1/2 order)",173.0,470.0,150.0,16.0,40.0,1070.0,61.0,2.0,3.0,20.0
"Pepperoni, P'Zone® Pizza (1/2 order)",158.0,450.0,140.0,15.0,40.0,1120.0,60.0,2.0,2.0,19.0
"Meaty, P'Zone® Pizza (1/2 order)",187.0,550.0,210.0,23.0,55.0,1370.0,61.0,2.0,2.0,24.0
"Chicken Alfredo, Tuscani Pastas (1/2 pan)",282.0,580.0,290.0,32.0,50.0,1250.0,49.0,4.0,4.0,23.0
"Meaty Marinara, Tuscani Pastas (1/2 pan)",272.0,450.0,180.0,20.0,70.0,1100.0,44.0,5.0,8.0,22.0
"Cheese Only, 9"" Personal PANormous™ Pizza (Whole Pizza)",381.0,1100.0,410.0,45.0,105.0,2400.0,124.0,6.0,10.0,48.0
"Pepperoni, 9"" Personal PANormous™ Pizza (Whole Pizza)",367.0,1100.0,430.0,48.0,100.0,2540.0,121.0,6.0,9.0,47.0
"Supreme, 9"" Personal PANormous™ Pizza (Whole Pizza)",462.0,1270.0,560.0,62.0,130.0,2920.0,125.0,7.0,11.0,54.0
"Pepperoni & Mushroom, 9"" Personal PANormous™ Pizza (Whole Pizza)",397.0,1050.0,380.0,42.0,85.0,2290.0,123.0,7.0,10.0,45.0
"Italian Sausage & Red Onion, 9"" Personal PANormous™ Pizza (Whole Pizza)",440.0,1210.0,500.0,56.0,110.0,2550.0,128.0,7.0,12.0,50.0
"Ham & Pineapple, 9"" Personal PANormous™ Pizza (Whole Pizza)",399.0,1020.0,330.0,37.0,80.0,2300.0,128.0,6.0,14.0,43.0
"Veggie Lover's®, 9"" Personal PANormous™ Pizza (Whole Pizza)",439.0,1010.0,340.0,38.0,70.0,2240.0,127.0,8.0,12.0,42.0
"Meat Lover's®, 9"" Personal PANormous™ Pizza (Whole Pizza)",465.0,1470.0,720.0,80.0,175.0,3670.0,123.0,6.0,10.0,64.0
"Pepperoni Lover's®, 9"" Personal PANormous™ Pizza (Whole Pizza)",457.0,1290.0,560.0,62.0,150.0,3160.0,124.0,6.0,10.0,59.0
"Hawaiian Luau, 9"" Personal PANormous™ Pizza (Whole Pizza)",423.0,1150.0,440.0,49.0,105.0,2670.0,129.0,6.0,14.0,49.0
"Dan's Original, 9"" Personal PANormous™ Pizza (Whole Pizza)",452.0,1270.0,560.0,62.0,125.0,2810.0,124.0,7.0,10.0,55.0
"Triple Meat Italiano, 9"" Personal PANormous™ Pizza (Whole Pizza)",424.0,1280.0,560.0,62.0,135.0,3070.0,123.0,6.0,9.0,56.0
"Spicy Sicilian, 9"" Personal PANormous™ Pizza (Whole Pizza)",439.0,1220.0,520.0,57.0,115.0,3150.0,126.0,7.0,11.0,51.0
"Ultimate Cheese Lover's, 9"" Personal PANormous™ Pizza (Whole Pizza)",374.0,1200.0,510.0,56.0,120.0,2560.0,121.0,5.0,9.0,53.0
"Stuffed Pizza Rollers, Stuffed Pizza Rollers (Each)",76.0,220.0,90.0,10.0,25.0,580.0,24.0,1.0,3.0,10.0
"Ranch Dipping Sauce (1.5 oz), Stuffed Pizza Rollers (Each)",43.0,220.0,210.0,23.0,10.0,420.0,2.0,0.0,1.0,0.0
"Marinara Dipping Sauce (3 oz), Stuffed Pizza Rollers (Each)",85.0,60.0,0.0,0.0,0.0,440.0,12.0,2.0,9.0,2.0
Baked Hot Wings (6 pieces),132.0,300.0,180.0,18.0,165.0,1290.0,3.0,0.0,0.0,30.0
Baked Mild Wings (6 pieces),132.0,330.0,180.0,21.0,165.0,1290.0,3.0,0.0,0.0,30.0
Wing Ranch Dipping Sauce (1.5 oz),43.0,220.0,210.0,23.0,10.0,420.0,2.0,0.0,1.0,0.0
Wing Blue Cheese Dipping Sauce (1.5 oz),43.0,230.0,210.0,24.0,20.0,420.0,2.0,0.0,2.0,1.0
Breadsticks (each),220.0,700.0,225.0,25.0,0.0,1300.0,95.0,5.0,10.0,25.0
Cheese Breadsticks (5 pieces),280.0,850.0,300.0,30.0,75.0,1950.0,100.0,5.0,10.0,40.0
Marinara Dipping Sauce (3 oz),85.0,60.0,0.0,0.0,0.0,440.0,12.0,2.0,9.0,2.0
Cinnamon Sticks (2 pieces),55.0,160.0,40.0,4.5,0.0,210.0,26.0,1.0,8.0,4.0
White Icing Dipping Cup (2 oz),57.0,170.0,0.0,0.0,0.0,5.0,44.0,0.0,38.0,0.0
HERSHEY'S® Chocolate Dunkers® (2 pieces),60.0,190.0,70.0,8.0,0.0,220.0,27.0,2.0,9.0,5.0
"All American, Bone Out Wings (8 pieces)",216.0,600.0,280.0,32.0,80.0,1960.0,44.0,4.0,0.0,40.0
"Buffalo Mild, Bone Out Wings (8 pieces)",292.0,760.0,320.0,36.0,80.0,4080.0,72.0,4.0,8.0,40.0
"Buffalo Medium, Bone Out Wings (8 pieces)",292.0,760.0,320.0,36.0,80.0,3960.0,72.0,4.0,8.0,40.0
"Buffalo Burnin Hot, Bone Out Wings (8 pieces)",292.0,760.0,320.0,32.0,80.0,4000.0,72.0,4.0,8.0,40.0
"Honey BBQ, Bone Out Wings (8 pieces)",328.0,880.0,280.0,32.0,80.0,2880.0,108.0,4.0,48.0,40.0
"Spicy Asian, Bone Out Wings (8 pieces)",320.0,840.0,280.0,32.0,80.0,2760.0,96.0,4.0,52.0,40.0
"Garlic Parmesan, Bone Out Wings (8 pieces)",284.0,1040.0,680.0,76.0,80.0,2840.0,44.0,4.0,44.0,44.0
"Spicy BBQ, Bone Out Wings (8 pieces)",324.0,800.0,280.0,32.0,100.0,3760.0,84.0,4.0,44.0,44.0
"Lemon Pepper, Bone Out Wings (8 pieces)",288.0,880.0,440.0,48.0,80.0,2480.0,72.0,4.0,28.0,40.0
"All American, Crispy Bone In Wings* (8 pieces)",220.0,200.0,130.0,14.0,45.0,500.0,8.0,1.0,0.0,9.0
"Buffalo Mild, Crispy Bone In Wings* (8 pieces)",300.0,920.0,520.0,60.0,180.0,4160.0,64.0,4.0,8.0,36.0
"Buffalo Medium, Crispy Bone In Wings* (8 pieces)",300.0,920.0,520.0,60.0,180.0,4040.0,64.0,8.0,8.0,36.0
"Buffalo Burnin Hot, Crispy Bone In Wings* (8 pieces)",300.0,920.0,520.0,60.0,180.0,4080.0,64.0,4.0,8.0,36.0
"Honey BBQ, Crispy Bone In Wings* (8 pieces)",332.0,1040.0,520.0,56.0,180.0,2960.0,96.0,4.0,48.0,40.0
"Spicy Asian, Crispy Bone In Wings* (8 pieces)",328.0,1000.0,520.0,56.0,180.0,2840.0,84.0,4.0,52.0,40.0
"Garlic Parmesan, Crispy Bone In Wings* (8 pieces)",288.0,1200.0,920.0,100.0,180.0,2920.0,36.0,4.0,4.0,40.0
"Spicy BBQ, Crispy Bone In Wings* (8 pieces)",328.0,960.0,520.0,56.0,200.0,3800.0,76.0,4.0,44.0,36.0
"Lemon Pepper, Crispy Bone In Wings* (8 pieces)",292.0,1080.0,680.0,76.0,180.0,2560.0,64.0,4.0,28.0,36.0
"All American, Traditional Wings* (8 pieces)",156.0,320.0,180.0,20.0,160.0,1160.0,0.0,0.0,0.0,28.0
"Buffalo Mild, Traditional Wings* (8 pieces)",236.0,440.0,200.0,24.0,160.0,3320.0,32.0,4.0,8.0,32.0
"Buffalo Medium, Traditional Wings* (8 pieces)",236.0,440.0,200.0,24.0,160.0,3200.0,32.0,4.0,8.0,32.0
"Buffalo Burnin Hot, Traditional Wings* (8 pieces)",236.0,440.0,200.0,24.0,160.0,3240.0,32.0,4.0,8.0,32.0
"Honey BBQ, Traditional Wings* (8 pieces)",268.0,560.0,180.0,20.0,160.0,2120.0,64.0,0.0,48.0,32.0
"Spicy Asian, Traditional Wings* (8 pieces)",260.0,520.0,180.0,20.0,160.0,2000.0,52.0,0.0,52.0,32.0
"Garlic Parmesan, Traditional Wings* (8 pieces)",224.0,720.0,600.0,64.0,180.0,2080.0,4.0,0.0,4.0,32.0
"Spicy BBQ, Traditional Wings* (8 pieces)",264.0,480.0,180.0,20.0,180.0,3000.0,44.0,0.0,44.0,32.0
"Lemon Pepper, Traditional Wings* (8 pieces)",228.0,600.0,360.0,40.0,160.0,1720.0,32.0,0.0,28.0,32.0
Apple Pie (2 pies),348.0,1320.0,640.0,68.0,0.0,760.0,160.0,8.0,80.0,8.0
Fried Cheese Sticks (4 pcs),476.0,1520.0,880.0,96.0,160.0,4080.0,116.0,8.0,12.0,52.0
Wedge Fries (side order),492.0,1280.0,640.0,72.0,0.0,2120.0,140.0,12.0,0.0,16.0
Mountain Dew®,454.0,220.0,0.0,0.0,0.0,70.0,58.0,0.0,58.0,0.0
Mountain Dew,624.0,300.0,0.0,0.0,0.0,100.0,80.0,0.0,80.0,0.0
Mountain Dew,907.0,440.0,0.0,0.0,0.0,140.0,116.0,0.0,116.0,0.0
Pepsi®,454.0,200.0,0.0,0.0,0.0,50.0,56.0,0.0,54.0,0.0
Pepsi,624.0,280.0,0.0,0.0,0.0,70.0,77.0,0.0,74.0,0.0
Pepsi,907.0,400.0,0.0,0.0,0.0,100.0,112.0,0.0,108.0,0.0
Diet Pepsi®,454.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
Diet Pepsi,624.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
Diet Pepsi,907.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Sierra Mist®,454.0,200.0,0.0,0.0,0.0,40.0,54.0,0.0,54.0,0.0
Sierra Mist,624.0,275.0,0.0,0.0,0.0,60.0,74.0,0.0,74.0,0.0
Sierra Mist,907.0,400.0,0.0,0.0,0.0,80.0,108.0,0.0,108.0,0.0
Enchilidas Verdas o Rojas,216.7,210.0,8.9,4.9,56.0,428.6,14.6,1.8,1.4,19.4
Flautas,190.0,78.0,10.0,4.0,26.0,120.0,16.0,2.0,0.0,8.0
Chile Verde o Rojo,196.0,100.0,6.0,2.0,27.0,1128.0,21.0,6.0,5.6,15.0
Carne con Chile,190.0,181.0,8.0,2.5,30.0,620.0,17.0,4.0,6.0,12.0
Chille Rellenos,405.0,369.0,13.0,0.0,45.0,817.0,52.0,0.0,4.0,17.0
Pollo Asado/Grilled Chicken,110.0,85.0,5.0,1.0,70.0,410.0,1.0,0.0,0.0,14.0
Carne Asada,316.0,113.0,18.0,6.0,104.0,237.0,1.0,0.0,0.0,34.0
Costillas en Salsa Verde o Roja,303.0,118.0,18.0,1.6,43.0,193.0,17.0,6.0,0.0,18.0
Huevos Rancheros,327.3,218.0,8.2,2.8,216.9,1391.1,37.3,7.7,1.2,26.3
Huevos a la Mexicana,545.0,392.0,44.0,15.0,775.0,973.0,9.6,2.4,5.6,27.0
Huevos con Chorizo,739.3,404.0,37.7,12.6,437.1,1521.8,63.0,8.9,3.6,34.3
Chilaquiles Rojos o Verdes,443.0,450.0,32.0,9.0,0.0,0.0,31.0,0.0,5.0,9.0
Steak & Eggs,539.0,225.0,40.0,15.0,497.0,828.0,0.7,0.0,0.4,42.0
Menudo,130.0,240.0,5.0,2.0,21.0,1661.0,30.0,6.0,4.0,17.0
Pozole Soup,313.0,240.0,14.0,5.0,95.0,428.0,16.0,2.0,3.0,30.0
