food item,price
Hand-Scooped Ice-Cream Shakes™- Strawberry Shake,6.07
Hand-Scooped Ice-Cream Shakes™- OREO ® Cookie Shake,6.07
"Cheese Only, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",11.99
"Pepperoni, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",13.74
"Supreme, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Pepperoni & Mushroom, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Italian Sausage & Red Onion, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Ham & Pineapple, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Veggie Lover's®, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Meat Lover's®, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Pepperoni Lover's®, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Hawaiian Luau, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",11.99
"Dan's Original, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Triple Meat Italiano, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Spicy Sicilian, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99
"Ultimate Cheese Lover's, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",11.99
"Cheese Only, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",11.99
"Pepperoni, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",13.74
"Supreme, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Pepperoni & Mushroom, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Italian Sausage & Red Onion, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Ham & Pineapple, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Veggie Lover's®, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Meat Lover's®, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Pepperoni Lover's®, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Hawaiian Luau, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",11.99
"Dan's Original, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Triple Meat Italiano, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Spicy Sicilian, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Ultimate Cheese Lover's, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99
"Cheese Only, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",11.99
"Pepperoni, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",13.74
"Supreme, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Pepperoni & Mushroom, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Italian Sausage & Red Onion, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Ham & Pineapple, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
